회사명,종목코드
알루코,001780
에스제이엠홀딩스,025530
엘브이엠씨,900140
오뚜기,007310
오렌지라이프,079440
이구산업,025820
이수페타시스,007660
인터지스,129260
일진다이아,081000
일진홀딩스,015860
자화전자,033240
전방,000950
제이준코스메틱,025620
제일기획,030000
지투알,035000
진양폴리우레탄,010640
태림포장,011280
티에이치엔,019180
팜스코,036580
퍼스텍,010820
하이골드3호,153360
한국ANKOR유전,152550
한국내화,010040
한국콜마,161890
한국화장품,123690
한라,014790
한미반도체,042700
한솔제지,213500
한올바이오파마,009420
해성디에스,195870
핸즈코퍼레이션,143210
현대리바트,079430
화천기계,010660
황금에스티,032560
효성첨단소재,298050
후성,093370
휴스틸,005010
휴켐스,069260
EDGC,245620
EMW,079190
GRT,900290
JW신약,067290
JYP Ent.,035900
RFHIC,218410
SG,255220
TS인베스트먼트,246690
고려시멘트,198440
고려신용정보,049720
골든브릿지이안5호,307870
골프존,215000
기산텔레콤,035460
나이스디앤비,130580
남화산업,111710
네오디안테크놀로지,072770
넥스트BT,065170
누리플랜,069140
대림제지,017650
대신밸런스제6호스팩,307750
대신정보통신,020180
대호피앤씨,021040
대화제약,067080
데일리블록체인,139050
동국알앤에스,075970
동우팜투테이블,088910
디바이스이엔지,187870
디에이테크놀로지,196490
디이엔티,079810
디지캡,197140
라온시큐어,042510
레고켐바이오,141080
로보로보,215100
룽투코리아,060240
리노스,039980
리드,197210
마이크로디지탈,305090
맥스로텍,141070
메가엠디,133750
메디프론,065650
무림SP,001810
미래나노텍,095500
미래에셋대우스팩1호,265480
미코,059090
민앤지,214180
바이오리더스,142760
바이오빌,065940
버킷스튜디오,066410
베스파,299910
뷰웍스,100120
브레인콘텐츠,066980
비에이치,090460
비츠로테크,042370
빅텍,065450
삼강엠앤티,100090
삼보산업,009620
삼성머스트스팩3호,309930
삼표시멘트,038500
서연탑메탈,019770
선광,003100
선데이토즈,123420
선익시스템,171090
세진티에스,067770
세코닉스,053450
센트럴바이오,051980
솔루에타,154040
스킨앤스킨,159910
신한제4호스팩,277480
실리콘웍스,108320
쌍용정보통신,010280
쎄니트,037760
씨엠에스에듀,225330
씨티케이코스메틱스,260930
아난티,025980
아시아경제,127710
아이디스홀딩스,054800
아이쓰리시스템,214430
아이원스,114810
아이진,185490
아이컴포넌트,059100
아주IB투자,027360
안국약품,001540
에스맥,097780
에스앤더블류,103230
에스에이티,060540
에스엔유,080000
에스티팜,237690
에이앤티앤,050320
에이치엘비생명과학,067630
에이치엘사이언스,239610
에이테크솔루션,071670
에이티젠,182400
에코캡,128540
엘앤씨바이오,290650
엠에스씨,009780
엠코르셋,204020
엠플러스,259630
영인프런티어,036180
오디텍,080520
오로라,039830
와이비엠넷,057030
우림기계,101170
우주일렉트로,065680
우진비앤지,018620
원익IPS,240810
위지윅스튜디오,299900
윈스,136540
유니테크노,241690
유라테크,048430
유앤아이,056090
이그잭스,060230
이니텍,053350
이베스트투자증권,078020
이에스에이,052190
이화전기,024810
인바디,041830
인베니아,079950
인지디스플레,037330
인터로조,119610
인터엠,017250
인터플렉스,051370
일지테크,019540
제닉,123330
제이엠아이,033050
제이콘텐트리,036420
조광ILI,044060
지엘팜텍,204840
지엠피,018290
지티지웰니스,219750
진로발효,018120
차바이오텍,085660
차이나그레이트,900040
컴투스,078340
케이디켐,221980
케이비제10호스팩,250930
케이씨티,089150
케이엠제약,225430
케이피에스,256940
코디엠,224060
코리아에스이,101670
큐렉소,060280
큐로컴,040350
크루셜텍,114120
크리스탈,083790
클리오,237880
태양,053620
테라젠이텍스,066700
티앤알바이오팹,246710
티에스이,131290
티엘아이,062860
팬스타엔터프라이즈,054300
펄어비스,263750
포비스티앤씨,016670
포스코 ICT,022100
포시에스,189690
포티스,141020
플레이위드,023770
피앤이솔루션,131390
필링크,064800
하나금융9호스팩,261200
하이제4호스팩,317240
한국정보인증,053300
한국정보통신,025770
한국제8호스팩,310870
한글과컴퓨터,030520
한솔인티큐브,070590
한송네오텍,226440
한스바이오메드,042520
한일단조,024740
한창산업,079170
해덕파워웨이,102210
해마로푸드서비스,220630
현진소재,053660
휴비츠,065510
흥국,010240
다이오진,271850
라이프사이언스테크놀로지,285770
메디안디노스틱,233250
바이오시네틱스,281310
바이옵트로,222160
선바이오,067370
앙츠,267810
앤유엔터테인먼트,266170
에스에이티이엔지,158300
엠로,058970
엠앤씨생명과학,225860
원텍,216280
유니포인트,121060
유쎌,252370
이엔드디,101360
코셋,189350
탑선,180060
티씨엠생명과학,228180
휴벡셀,212310
AK홀딩스,006840
DSR,155660
JB금융지주,175330
JW중외제약,001060
KC코트렐,119650
KPX홀딩스,092230
KTB투자증권,030210
KTcs,058850
LG생활건강,051900
NICE,034310
SG세계물산,004060
SIMPAC,009160
SK가스,018670
STX엔진,077970
가온전선,000500
경보제약,214390
계양전기,012200
고려산업,002140
광전자,017900
넥센,005720
넥스트사이언스,003580
농심,004370
다우기술,023590
대동공업,000490
대성산업,128820
대유플러스,000300
대한전선,001440
대한항공,003490
대한화섬,003830
대호에이엘,069460
도화엔지니어링,002150
동북아13호선박투자,083380
동아타이어,282690
동양피스톤,092780
동원시스템즈,014820
두산,000150
두산건설,011160
미래산업,025560
방림,003610
보령제약,003850
비티원,101140
사조오양,006090
삼아알미늄,006110
삼양사,145990
삼호개발,010960
삼화전자공업,011230
삼화콘덴서공업,001820
삼화페인트공업,000390
새론오토모티브,075180
성문전자,014910
세아베스틸,001430
세아제강지주,003030
신도리코,029530
신세계,004170
신세계인터내셔날,031430
쌍용양회공업,003410
아남전자,008700
에스엘,005850
에쓰씨엔지니어링,023960
엔케이물산,009810
오리엔트바이오,002630
오리온홀딩스,001800
우리들휴브레인,118000
유니퀘스트,077500
이연제약,102460
일신석재,007110
일양약품,007570
주연테크,044380
진양산업,003780
케이비아이동국실업,001620
케이씨,029460
코오롱,002020
키움증권,039490
태경산업,015890
파미셀,005690
평화홀딩스,010770
풀무원,017810
하이트진로홀딩스,000140
한국단자공업,025540
한국쉘석유,002960
한국특수형강,007280
한농화성,011500
한미사이언스,008930
한신공영,004960
한익스프레스,014130
한전기술,052690
한화생명,088350
한화손해보험,000370
한화투자증권,003530
현대글로비스,086280
현대백화점,069960
현대일렉트릭,267260
현대차증권,001500
현대코퍼레이션홀딩스,227840
화승알앤에이,013520
화인베스틸,133820
DB금융스팩6호,306620
GMR 머티리얼즈,032860
GS홈쇼핑,028150
HB테크놀러지,078150
ISC,095340
ITX엠투엠,099520
KBI메탈,024840
KD건설,044180
KG이니시스,035600
KNN,058400
KT서브마린,060370
NEW,160550
NE능률,053290
NICE평가정보,030190
SBI인베스트먼트,019550
SK3호스팩,232330
THE MIDONG,161570
iMBC,052220
고려제약,014570
골프존뉴딘홀딩스,121440
금강철강,053260
금화피에스시,036190
나노스,151910
나무가,190510
네패스신소재,087730
넷게임즈,225570
노랑풍선,104620
뉴트리,270870
다나와,119860
대륙제관,004780
대성엘텍,025440
대성창투,027830
대양제지,006580
대정화금,120240
대주산업,003310
더블유에프엠,035290
동성화인텍,033500
동양에스텍,060380
동양이엔피,079960
동일철강,023790
드래곤플라이,030350
드림시큐리티,203650
디스플레이텍,066670
디알젬,263690
디에이치피코리아,131030
디케이디앤아이,033310
랩지노믹스,084650
레드로버,060300
레드캡투어,038390
로보티즈,108490
멀티캠퍼스,067280
미래생명자원,218150
바른손이앤에이,035620
바이오로그디바이스,208710
바이오톡스텍,086040
버추얼텍,036620
빅솔론,093190
삼목에스폼,018310
삼성스팩2호,291230
상상인,038540
샘코,263540
서암기계공업,100660
서연전자,012860
서울반도체,046890
세원,234100
세화피앤씨,252500
셀트리온헬스케어,091990
소리바다,053110
솔고바이오,043100
솔트웍스,230980
쇼박스,086980
슈프리마,236200
슈피겐코리아,192440
시큐브,131090
신라섬유,001000
신한제3호스팩,257730
신화콘텍,187270
심텍,222800
심텍홀딩스,036710
싸이맥스,160980
씨유메디칼,115480
아미노로직스,074430
아바코,083930
아바텍,149950
아이에스이커머스,069920
아이엠텍,226350
아이큐어,175250
애니젠,196300
액토즈소프트,052790
앤씨앤,092600
에스디생명공학,217480
에스아이리소스,065420
에스엠코어,007820
에스트래픽,234300
에스티아이,039440
에쎈테크,043340
에이아이비트,039230
에이치엘비,028300
에이텍,045660
에코프로,086520
에프엔씨엔터,173940
엑세스바이오,950130
엑시콘,092870
엔에이치스팩11호,256840
엔지스테크널러지,208860
엔터메이트,206400
엔텔스,069410
엠게임,058630
영우디에스피,143540
오가닉티코스메틱,900300
오리엔탈정공,014940
오리콤,010470
오성첨단소재,052420
오션브릿지,241790
오스코텍,039200
오스템,031510
와이아이케이,232140
와이지엔터테인먼트,122870
우리기술,032820
우리넷,115440
우리로,046970
우정바이오,215380
월덱스,101160
웰크론한텍,076080
유니셈,036200
유니온커뮤니티,203450
유신,054930
유진기업,023410
유진로봇,056080
이노테라피,246960
이라이콤,041520
이엘피,063760
이지바이오,035810
이지웰페어,090850
이크레더블,092130
이트론,096040
인산가,277410
인콘,083640
인트로메딕,150840
인트론바이오,048530
일진파워,094820
장원테크,174880
제너셈,217190
제이스테판,096690
제이씨케미칼,137950
조이시티,067000
중앙에너비스,000440
지란지교시큐리티,208350
지에스이,053050
천보,278280
청담러닝,096240
카페24,042000
케어젠,214370
케이엠,083550
케이프,064820
켐트로닉스,089010
코닉글로리,094860
코아시아,045970
코오롱생명과학,102940
큐로홀딩스,051780
태광,023160
테라셈,182690
파워넷,037030
파트론,091700
파티게임즈,194510
포스코엠텍,009520
퓨쳐스트림네트웍스,214270
하림지주,003380
하이즈항공,221840
한국가구,004590
한국정밀기계,101680
한국테크놀로지,053590
한빛소프트,047080
한컴유니맥스,215090
한컴지엠디,077280
한탑,002680
해성산업,034810
헬릭스미스,084990
현대바이오,048410
현대통신,039010
화일약품,061250
화진,134780
휘닉스소재,050090
휴마시스,205470
휴온스,243070
휴온스글로벌,084110
흥국에프엔비,189980
다원넥스뷰,323350
대동고려삼,178600
더콘텐츠온,302920
메디쎄이,200580
볼빅,206950
스템랩,258540
씨이랩,189330
씨티네트웍스,189540
아이피몬스터,223220
안지오랩,251280
에스케이씨에스,224020
에이치엔에스하이텍,044990
에이펙스인텍,207490
엔솔바이오사이언스,140610
엔에스컴퍼니,224760
이비테크,208850
인터코스,240340
카이노스메드,220250
크로넥스,215570
파마리서치바이오,217950
프로테옴텍,303360
피엔아이컴퍼니,242350
BYC,001460
CJ대한통운,000120
CJ씨푸드,011150
DRB동일,004840
KTis,058860
LS네트웍스,000680
SK케미칼,285130
강남제비스코,000860
경동나비엔,009450
광명전기,017040
광주신세계,037710
국보,001140
그린케미칼,083420
금호석유화학,011780
금호전기,001210
깨끗한나라,004540
노루홀딩스,000320
대상,001680
대성에너지,117580
대성홀딩스,016710
대신증권,003540
대우부품,009320
대창단조,015230
동북아12호선박투자,083370
동성화학,005190
동아에스티,170900
동양물산기업,002900
동일산업,004890
락앤락,115390
롯데케미칼,011170
롯데푸드,002270
메리츠금융지주,138040
메리츠종금증권,008560
모나리자,012690
미래에셋대우,006800
미원상사,002840
사조산업,007160
상신브레이크,041650
서연이화,200880
서울도시가스,017390
성안,011300
세아특수강,019440
신대양제지,016590
신풍제지,002870
신흥,004080
에스제이엠,123700
에이프로젠제약,003060
영풍제지,006740
영흥철강,012160
용평리조트,070960
우리들제약,004720
웅진씽크빅,095720
웅진코웨이,021240
유수홀딩스,000700
유엔젤,072130
율촌화학,008730
이노션,214320
이마트,139480
이화산업,000760
인스코비,006490
인팩,023810
일성건설,013360
일신방직,003200
일진전기,103590
잇츠한불,226320
제주은행,006220
천일고속,000650
체시스,033250
카프로,006380
케이씨텍,281820
케이탑리츠,145270
케이티앤지,033780
크라운제과,264900
테이팩스,055490
포스코인터내셔널,047050
폴루스바이오팜,007630
풍산,103140
필룩스,033180
하나금융지주,086790
하이골드12호,172580
하이골드8호,159650
한국전력공사,015760
한국타이어앤테크놀로지,161390
한성기업,003680
한세예스24홀딩스,016450
한솔홈데코,025750
한창,005110
한화,000880
현대미포조선,010620
현대약품,004310
현대에이치씨엔,126560
현대위아,011210
현대자동차,005380
현대종합상사,011760
화승엔터프라이즈,241590
휠라코리아,081660
흥국화재,000540
흥아해운,003280
AP시스템,265520
GV,045890
S&K폴리텍,091340
SFA반도체,036540
YTN,040300
네오오토,212560
네오팜,092730
네오펙트,290660
넥스트아이,137940
녹원씨엔아이,065560
농우바이오,054050
누리텔레콤,040160
다믈멀티미디어,093640
대동스틸,048470
대보마그네틱,290670
덕산하이메탈,077360
데브시스터즈,194480
데이타솔루션,263800
도이치모터스,067990
동구바이오제약,006620
동운아나텍,094170
동원개발,013120
동일금속,109860
동화기업,025900
두올산업,078590
드림어스컴퍼니,060570
디딤,217620
디케이락,105740
라이트론,069540
레이언스,228850
로체시스템즈,071280
루멘스,038060
루트로닉,085370
리노공업,058470
링크제니시스,219420
마이크로컨텍솔,098120
매커스,093520
메가스터디,072870
멕아이씨에스,058110
멜파스,096640
모다,149940
바른손,018700
바이오솔루션,086820
배럴,267790
백금T&A,046310
보광산업,225530
보성파워텍,006910
블러썸엠앤씨,263920
삼우엠스,082660
서울리거,043710
서울전자통신,027040
서진오토모티브,122690
서희건설,035890
성광벤드,014620
세동,053060
세운메디칼,100700
세중,039310
셀바스AI,108860
솔브레인,036830
시스웍,269620
신일제약,012790
신진에스엠,138070
썬텍,122800
쏠리드,050890
씨아이에스,222080
씨케이에이치,900120
씨티씨바이오,060590
아리온,058220
아세아텍,050860
아이씨케이,068940
아이앤씨,052860
아이티센,124500
아진산업,013310
안랩,053800
알서포트,131370
알에스오토메이션,140670
알톤스포츠,123750
알파홀딩스,117670
에스씨디,042110
에스에너지,095910
에스텍,069510
에스폴리텍,050760
에이비엘바이오,298380
에치에프알,230240
엔시트론,101400
엘앤에프,066970
영풍정밀,036560
예스티,122640
오상자이엘,053980
오파스넷,173130
올릭스,226950
옴니시스템,057540
옵토팩,123010
와이솔,122990
와이오엠,066430
와이제이엠게임즈,193250
와토스코리아,079000
우원개발,046940
위즈코프,038620
유니트론텍,142210
유비케어,032620
유안타제3호스팩,287410
유안타제4호스팩,313750
유진스팩4호,321260
이미지스,115610
이씨에스,067010
이에스브이,223310
이오테크닉스,039030
이즈미디어,181340
인터파크홀딩스,035080
인텍플러스,064290
인화정공,101930
자연과환경,043910
제룡산업,147830
제이브이엠,054950
제일테크노스,038010
지엔씨에너지,119850
지트리비앤티,115450
진양제약,007370
캔서롭,180400
컴퍼니케이,307930
케이비제11호스팩,258790
케이에스피,073010
케이엘넷,039420
케이엠더블유,032500
코리아나,027050
코미코,183300
코콤,015710
큐에스아이,066310
클래시스,214150
키이스트,054780
테스,095610
테크윙,089030
텔레칩스,054450
텔레필드,091440
텔콘RF제약,200230
토박스코리아,215480
파버나인,177830
파워로직스,047310
파인넥스,123260
푸른기술,094940
퓨쳐켐,220100
프럼파스트,035200
피엔티,137400
피제이전자,006140
하이로닉,149980
하이비젼시스템,126700
하츠,066130
한국기업평가,034950
한국제6호스팩,281410
한네트,052600
한라IMS,092460
한화수성스팩,265920
홈센타홀딩스,060560
휴맥스,115160
관악산업,076340
굿센,243870
나라소프트,288490
네추럴FNP,086220
다이노나,086080
라온테크,232680
럭스피아,092590
루켄테크놀러지스,162120
메디젠휴먼케어,236340
아이케이세미콘,149010
알로이스,271400
엄지하우스,224810
엔케이맥스,262760
원바이오젠,278380
인프라웨어테크놀러지,247300
지앤이헬스케어,299480
툴젠,199800
틸론,217880
판도라티비,202960
한국비엔씨,226610
